Alaska,188,650,15972
Alabama,878,540,194892
Arkansas,736,494,113641
Arizona,296,482,248139
California,112,352,930628
Colorado,440,366,112147
Connecticut,1152,240,73858
Delaware,1112,332,25426
Florida,1020,662,801371
Georgia,956,534,362921
Hawaii,464,760,15147
Iowa,714,294,132123
Idaho,286,202,65845
Illinois,810,336,429761
Indiana,874,330,185185
Kansas,604,388,89277
Kentucky,906,406,109670
Louisiana,742,604,187995
Massachusetts,1162,216,166281
Maryland,1076,324,147766
Maine,1190,118,6926
Michigan,892,240,204326
Minnesota,678,172,153620
Missouri,730,394,188186
Mississippi,812,548,121509
Montana,388,122,34252
North Carolina,1038,442,278028
North Dakota,566,130,47187
Nebraska,572,302,72620
New Hampshire,1160,178,11320
New Jersey,1122,286,240997
New Mexico,416,490,48104
Nevada,204,314,102114
New York,1082,214,246572
Ohio,944,320,221909
Oklahoma,618,478,131624
Oregon,148,172,45978
Pennsylvania,1046,288,211996
Rhode Island,1178,234,34120
South Carolina,1012,502,178917
South Dakota,572,218,47850
Tennessee,882,458,264587
Texas,582,598,909257
Utah,308,342,117706
Virginia,1058,378,184680
Vermont,1134,172,2219
Washington,184,76,109354
Wisconsin,784,206,244928
West Virginia,992,356,25235
Wyoming,414,250,14167
